num,parameters
1,gbar_Im
2,gbar_Ih
3,gbar_NaTs
4,gbar_Nap
5,gbar_K_P
6,gbar_K_T
7,gbar_SK
8,gbar_Kv3_1
9,gbar_Ca_HVA
10,gbar_Ca_LVA
11,gamma_CaDynamics
12,decay_CaDynamics
13,soma_g_pas
14,axon_g_pas
15,dend_g_pas
16,apic_g_pas
17,gbar_NaV
18,gbar_Kd
19,gbar_Kv2like
20,gbar_Im_v2
