,cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,cre_line,dendrite_type
26,False,,,,,,,,,,,,,,,,,,,,,Chat-IRES-Cre-neo,aspiny
27,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
28,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
29,False,,,,,,,,,,,,,,,,,,,,,Gad2-IRES-Cre,aspiny
30,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
31,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
32,False,,,,,,,,,,,,,,,,,,,,,Sim1-Cre_KJ18,spiny
33,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
34,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,spiny
35,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
36,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,sparsely spiny
37,False,,,,,,,,,,,,,,,,,,,,,Chat-IRES-Cre-neo,aspiny
38,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
39,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
40,False,,,,,,,,,,,,,,,,,,,,,Ctgf-T2A-dgCre,spiny
41,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
42,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
43,False,,,,,,,,,,,,,,,,,,,,,Gad2-IRES-Cre,aspiny
44,False,5.526401577526928e-06,1.867064515595788e-07,1.5314987111926583,0.0010227209691989149,2.7904500481679144e-06,2.722387855298746e-06,0.0013226695043150028,0.16795980572513036,0.0004702239797736589,0.009943622094592965,0.0002902188771008474,807.6103599614082,0.00012706919630542146,0.0003017656921670395,1.2152056151171295e-05,1.0003291223294054e-07,,,,,Human,spiny
45,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
46,False,,,,,,,,,,,,,,,,,,,,,Vip-IRES-Cre,aspiny
47,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
48,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
49,False,,,,,,,,,,,,,,,,,,,,,Human,sparsely spiny
50,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,spiny
51,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
52,False,,,,,,,,,,,,,,,,,,,,,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny
53,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
54,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,aspiny
55,False,,,,,,,,,,,,,,,,,,,,,Ctgf-T2A-dgCre,spiny
56,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
57,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
58,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
59,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
60,False,,,,,,,,,,,,,,,,,,,,,Vip-IRES-Cre,sparsely spiny
61,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
62,False,,,,,,,,,,,,,,,,,,,,,Vip-IRES-Cre,aspiny
63,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
64,Scnn1a-Tg2-Cre__L5__exc,0.0006787097588489684,5.704130364651405e-09,0.7588364440107184,1.5296301018180586e-08,0.003384356563707603,9.828563629632472e-07,0.00028122334046569236,0.1456753383565461,2.88760949448833e-05,0.004564130917762295,0.023692887721578737,371.9034243940872,0.000274964054534532,0.0001866746977381568,1.1183544145324285e-05,2.8176719883664563e-06,,,,,Scnn1a-Tg2-Cre,spiny
65,False,,,,,,,,,,,,,,,,,,,,,Esr2-IRES2-Cre-neo,spiny
66,Rbp4-Cre_KL100__L5__exc,0.0012383893612445851,0.0006338765849686778,0.5004533617378729,1.758571027409006e-05,0.0006796868759747499,1.559856737237686e-05,0.0005304617338248371,0.14322461216868007,0.0001483591621125165,0.009600187388548958,0.004787288788001426,365.1020624075615,1.4062989960779354e-05,0.00013123040228366434,1.0064836074181783e-07,7.215275674504716e-05,,,,,Rbp4-Cre_KL100,spiny
67,False,,,,,,,,,,,,,,,,,,,,,Glt25d2-Cre_NF107,spiny
68,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
69,False,,,,,,,,,,,,,,,,,,,,,Nkx2-1-CreERT2,aspiny
70,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
71,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
72,False,,,,,,,,,,,,,,,,,,,,,Rbp4-Cre_KL100,spiny
73,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
74,Rorb-IRES2-Cre__L4__exc,7.827677545926837e-05,5.137173443577833e-10,0.5168654932288607,0.0004289742425882752,0.017671221848675894,2.230488503196515e-05,0.0015424324222825345,0.19573205552973671,0.0005528706698531206,0.005025574451200785,0.0006508077628260251,604.0577574841373,0.00019902490039744336,4.512350891808416e-05,6.3592870620917685e-06,2.8151568481064064e-05,,,,,Rorb-IRES2-Cre,spiny
75,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
76,False,,,,,,,,,,,,,,,,,,,,,Ntsr1-Cre_GN220,spiny
77,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
78,Rorb-IRES2-Cre__L5__exc,2.951263532001338e-06,0.004048145710083412,0.9336189900529356,8.247407217387052e-13,6.488737355012789e-07,3.568552557314201e-05,0.06397382809151697,0.21626953196923748,0.0009135494630006473,0.000886059597629294,0.0001211832655136874,993.4509447563166,0.000559568331783151,0.0005414292450440817,0.00047370210704760076,3.0833208475328043e-07,,,,,Rorb-IRES2-Cre,spiny
79,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
80,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
81,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
82,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
83,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
84,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
