,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,hausdorff_dimension,id_x,id_y,input_resistance_mohm,latency,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,scale_factor_x,scale_factor_y,scale_factor_z,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,soma_surface,specimen_id,superseded,tags,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,total_length,total_surface,total_volume,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,species,cre_line,dendrite_type,nm_id,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2
0,,0.85056077507601,0.527213091841004,75.1339285714286,0.9667088597157409,134.7,22.697498394674803,0.0833545918367347,1.1876799999999998,13.2952,1.025916,-56.375003814697294,-57.385420481363894,-57.4312507629395,False,False,False,,529951870,668702901.0,54.894264,0.0745600000000002,11.0,496.779715382321,592.979223018546,full,56.0,119.0,8496.0,7.0,63.0,135.52,631.358580696797,581.674568460602,1.18506,13.292893333333302,1.023716,47.875003814697294,47.4375025431315,48.075002288818396,529881372,78,60.7811734080315,0.11645156145095802,0.1144,0.1144,0.28,1.4882823680000001,,,,,,,444.24748416780403,529878215,False,3D Neuron Reconstruction morphology,20.4950337481237,290.0,306.791656494141,1989.99987792969,1.18448,13.292266666666698,1.023104,-39.0,-40.4166692097982,-49.0187522888184,529881376,9995.21860126649,16666.2137287986,2355.7650594674,1.18826,13.295679999999999,1.13478,-56.593753814697294,-57.739585876464794,-74.1437530517578,3.0296951840245403,3.0616457336323304,2.969820727143,-80.46875,-73.5533905029297,Homo Sapiens,Human,spiny,626170637.0,0.0017321139085187392,0.0010276165508097685,5.703488493920062,0.00019773170475112511,0.09574148060231935,0.022959893920016232,0.001075783194393165,0.48148063682519904,0.0003147428274581127,0.005619633907249637,0.0020545078576459045,640.061788568835,0.0009312563369330622,0.00015061545665263874,9.302759938609222e-05,1.6708238065731365e-07,,,,
1,,0.934072035647532,0.614132564179095,61.1724137931034,0.8923795530696541,,-24.8874983121983,-3.9136297537092996e-19,1.09984,20.650105,1.02546,-54.0,-54.828128814697294,-54.656253814697294,False,False,False,,549196534,680036168.0,103.684656,0.0624800000000001,13.0,474.63194187238406,494.00435014327996,full,44.0,94.0,5370.0,6.0,50.0,148.0957,819.5315660445641,391.393463998013,1.09782,20.64813,1.0239200000000002,36.4375,38.3515653610229,36.6562538146973,549115259,55,99.9999195337296,0.206350937485695,0.1144,0.1144,0.28,2.276368128,,,,,,,1997.5343039074398,548459652,False,3D Neuron Reconstruction morphology,25.1311724055763,310.0,490.718734741211,1800.0,1.0972600000000001,20.6475,1.02338,-40.4687538146973,-39.500000953674295,-49.031253814697294,549115266,6533.38577404526,13173.1790255805,2962.02412344865,1.11982,20.650735,1.1609399999999999,-55.406253814697294,-55.242191314697294,-73.5,2.44189466857354,2.24565287496842,2.23157450081467,-84.4062576293945,-73.0565948486328,Homo Sapiens,Human,spiny,,,,,,,,,,,,,,,,,,,,,
2,,,,,,39.0448,-46.76500159339621,0.526785709940049,1.15784,2.55131,1.02538666666667,-59.5,-58.2343778610229,-59.9409747653537,False,False,False,,579986979,,224.580336,0.013359999999999999,,,,,,,,,,,,,1.1557600000000001,2.5496,1.02350888888889,19.9375,35.9062519073486,24.388889524671804,579982437,38,287.50005364418,0.156424447894096,,,,3.6898949119999997,1.15846,,,-60.0625,,,,579978640,,,18.3148832413884,30.0,38.218749046325705,230.0,1.15516,2.54898,1.02299111111111,-44.375003814697294,-43.609376907348604,-40.687502119276296,579982471,,,,1.15846,2.55196,1.08985111111111,-60.0625,-58.570314407348604,-61.3715307447645,2.02376152384931,2.16287775243175,2.0064059196366997,-93.37500762939449,-60.2773208618164,Mus musculus,Ndnf-IRES2-dgCre,aspiny,,,,,,,,,,,,,,,,,,,,,
3,,,,,,117.816428571429,5.9962495038701205,0.154255319148936,1.989165,9.572025,1.0287325,-47.53125,-50.359375,-65.5,False,False,False,,439816233,,151.193344,0.14301,,,,,,,,,,,,,1.984775,9.5666425,1.02353375,16.4375,18.578125,10.328125238418599,439610834,41,106.874883174896,0.0417667478322983,,,,2.176310784,,9.5763075,,,-52.718751907348604,,,439024551,,,7.61616356418126,270.0,213.625,830.0,1.98407,9.566005,1.02311625,-30.5,-31.453125,-33.5156259536743,439610838,,,,1.99318,9.5763075,1.42322875,-49.406253814697294,-52.718751907348604,-75.27344322204591,3.1059311346789102,3.49166338178137,1.73389560556297,-87.65625,-75.2055587768555,Mus musculus,Htr3a-Cre_NO152,aspiny,,,,,,,,,,,,,,,,,,,,,
4,,,,,,68.3214285714286,14.9100003177249,0.17140410958904098,1.08198,2.4628799999999997,1.02562,-48.437503814697294,-46.52083714803061,-51.4062528610229,False,False,False,,515191763,,171.530176,0.0258400000000001,,,,,,,,,,,,,1.0784,2.4592466666666697,1.0233649999999999,28.2500019073486,30.104167938232397,37.0703144073486,515191343,36,188.43761086463903,-0.0034653702750802,,,,1.226686848,1.09398,2.49043333333333,,-53.000003814697294,-54.64583714803061,,,515188639,,,34.8296291094102,90.0,35.9583326975505,550.0,1.07784,2.45866,1.02296,-34.875,-32.6875038146973,-45.921875,515191347,,,,1.09398,2.49043333333333,1.47969,-53.000003814697294,-54.64583714803061,-64.2500028610229,3.28575981393974,3.3635041765807796,4.23470149691417,-81.6250076293945,-63.4749908447266,Mus musculus,Scnn1a-Tg3-Cre,spiny,,,,,,,,,,,,,,,,,,,,,
5,,,,,,27.386857142857103,-55.952496108568894,0.5738636349537,1.09606,7.5981866666666695,1.02541,-48.96875,-48.7187525431315,-57.78125,False,False,False,,561517574,,193.250768,0.0402200000000001,,,,,,,,,,,,,1.0944200000000002,7.59596666666667,1.02344,13.4375,14.1562503178914,23.140625953674302,561516101,45,128.43745946884198,0.0382084101438522,,,,1.5779888640000002,1.0974,7.60173333333333,,-49.906253814697294,-50.6979179382324,,,561515555,,,8.392430101572911,190.0,164.416666666667,680.0,1.094,7.59552,1.02312,-32.28125,-31.541667302449497,-36.6562538146973,561516105,,,,1.0974,7.60173333333333,1.49485,-49.906253814697294,-50.6979179382324,-73.3750038146973,1.8200109490127598,1.8165970777519,1.83773210240657,-88.25,-73.7234573364258,Mus musculus,Nkx2-1-CreERT2,aspiny,,,,,,,,,,,,,,,,,,,,,
6,,,,,,58.025,10.9100003337081,0.213501632902087,1.28154,5.21518,1.025916,-49.031253814697294,-49.9479179382324,-52.6812522888184,False,False,False,,561534396,,206.175392,0.0418800000000001,,,,,,,,,,,,,1.27804,5.21180666666667,1.023212,16.0625,21.6458346048991,20.09375,561533018,40,138.058051466942,0.0276836752891541,,,,1.1218178559999998,1.2927,5.2261666666666695,,-53.406253814697294,-55.0416692097982,,,561532476,,,10.9529669065866,120.0,104.791666666667,700.0,1.27744,5.2112466666666695,1.022788,-37.34375,-42.9270846048991,-41.231251525878896,561533005,,,,1.2927,5.2261666666666695,1.479344,-53.406253814697294,-55.0416692097982,-71.95000305175779,3.5615281810387405,3.3375993543796802,2.5457044632334704,-87.96875,-71.2337188720703,Mus musculus,Htr3a-Cre_NO152,aspiny,,,,,,,,,,,,,,,,,,,,,
7,,,,,,7.69286821705426,-22.384998368818497,1.9284865076050801,1.14568,10.01876,1.0241,-65.8125076293945,-57.906253814697294,-66.87500305175779,False,False,False,,593320510,,288.548096,0.00594000000000006,,,,,,,,,,,,,1.14486,10.01774,1.0233079999999999,17.8125019073486,10.515625,27.093751525878897,593265546,47,175.468742847443,0.0442638732492924,,,,1.40964672,,,,,,,,593253205,,,10.177199525861301,200.0,224.9375,390.0,1.14436,10.01725,1.022912,-43.343753814697294,-32.3125,-49.5500022888184,593265541,,,,1.14574,10.01879,1.314152,-65.9375076293945,-57.984378814697294,-73.65625305175779,1.0370364594919599,0.9578692364288192,1.20826732738192,-92.1875,-72.73524475097659,Mus musculus,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny,,,,,,,,,,,,,,,,,,,,,
8,,,,,,138.265,22.563124979502202,0.0529761904761905,1.204215,5.6887633333333305,1.0260049999999998,-48.03125,-47.7812512715658,-51.825001525878896,False,False,False,,471548938,,228.866336,0.0905200000000002,,,,,,,,,,,,,1.199435,5.68516333333333,1.023477,38.8750038146973,44.6250025431315,45.537501525878895,464295691,54,76.56250149011609,0.0140298036858439,,,,2.2467072,,5.73082166666667,,,-59.4583346048991,,,395785266,,,17.2513895788224,290.0,116.625,1690.0,1.199015,5.68476333333333,1.023095,-32.40625,-34.0208333333333,-46.3562507629395,464295695,,,,1.2326350000000001,5.73082166666667,1.519892,-55.3125,-59.4583346048991,-82.5,4.0937806746662995,4.28255077045205,4.17698129986415,-92.53125,-82.4833526611328,Mus musculus,Scnn1a-Tg3-Cre,spiny,,,,,,,,,,,,,,,,,,,,,
9,,,,,,23.966666666666697,-6.982500081603731,0.0383905852417303,1.09738,2.0987299999999998,1.0246879999999998,-56.500003814697294,-55.484376907348604,-60.83750381469729,False,False,False,,570610115,,513.464384,0.0229600000000001,,,,,,,,,,,,,1.0959,2.09718,1.023244,45.562503814697294,44.296875,47.281253814697294,570598971,32,228.906214237213,0.0470192059874535,,,,1.4416002559999999,,2.11597,,,-52.265626907348604,,,570589704,,,12.3338493568724,50.0,26.9375,350.0,1.09548,2.09671,1.022908,-35.5625,-34.9218769073486,-38.856251525878896,570598977,,,,1.09752,2.09876,1.677644,-56.531253814697294,-55.562501907348604,-73.2750045776367,2.66069730258319,2.7073890831384597,2.86815045131092,-98.81250762939449,-72.9958953857422,Mus musculus,Vip-IRES-Cre,aspiny,,,,,,,,,,,,,,,,,,,,,
